"filename", "language", "XML", "Markdown", "JavaScript", "JavaScript JSX", "CSS", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\CharacterCreationFolder\CharacterCreator.jsx", "JavaScript JSX", 0, 0, 0, 245, 0, 0, 0, 8, 16, 269
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\CharacterCreationFolder\CharacterUpdate.jsx", "JavaScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 15, 114
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\CharacterDelete.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\CharacterDetails.jsx", "JavaScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 94, 0, 0, 0, 2, 14, 110
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\DeveloperTools\DevEventScreen.jsx", "JavaScript JSX", 0, 0, 0, 177, 0, 0, 0, 0, 22, 199
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\DeveloperTools\DevQuestScreen.jsx", "JavaScript JSX", 0, 0, 0, 167, 0, 0, 0, 0, 12, 179
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\DeveloperTools\DeveloperScreen.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\Header.jsx", "JavaScript JSX", 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\LoginAndReg\AuthProvider.jsx", "JavaScript JSX", 0, 0, 0, 50, 0, 0, 0, 0, 8, 58
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\LoginAndReg\LoginAndReg.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 0, 1, 3, 30
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\LoginAndReg\LoginForm.jsx", "JavaScript JSX", 0, 0, 0, 59, 0, 0, 0, 15, 18, 92
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\LoginAndReg\Regex.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\LoginAndReg\RegisterForm.jsx", "JavaScript JSX", 0, 0, 0, 170, 0, 0, 0, 0, 12, 182
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\QuestLog.jsx", "JavaScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\Tab.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\Tabs.jsx", "JavaScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 3, 35
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\src\views\UpdateCharacterForm.jsx", "JavaScript JSX", 0, 0, 0, 150, 0, 0, 0, 0, 15, 165
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\vite.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 1, 2, 8
"c:\Users\Lawrence\Desktop\TavernTextQuest-IdleRpg-main(0.02)\client\vite.config.js.timestamp-1715875484308-d0b21da2cac65.mjs", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 2, 1, 11
"Total", "-", 1, 6, 600, 1809, 218, 4275, 20, 52, 283, 7264
